Year of Year dated,Indicator Name En,% of Total Value
1990,Number of people aged 30+ years with diabetes who are treated,42.36717%
1991,Number of people aged 30+ years with diabetes who are treated,42.77484%
1992,Number of people aged 30+ years with diabetes who are treated,43.18176%
1993,Number of people aged 30+ years with diabetes who are treated,43.58062%
1994,Number of people aged 30+ years with diabetes who are treated,43.96197%
1995,Number of people aged 30+ years with diabetes who are treated,44.33174%
1996,Number of people aged 30+ years with diabetes who are treated,44.70089%
1997,Number of people aged 30+ years with diabetes who are treated,45.0793%
1998,Number of people aged 30+ years with diabetes who are treated,45.46138%
1999,Number of people aged 30+ years with diabetes who are treated,45.85025%
2000,Number of people aged 30+ years with diabetes who are treated,46.25407%
2001,Number of people aged 30+ years with diabetes who are treated,46.69138%
2002,Number of people aged 30+ years with diabetes who are treated,47.16071%
2003,Number of people aged 30+ years with diabetes who are treated,47.64227%
2004,Number of people aged 30+ years with diabetes who are treated,48.12545%
2005,Number of people aged 30+ years with diabetes who are treated,48.60815%
2006,Number of people aged 30+ years with diabetes who are treated,49.08954%
2007,Number of people aged 30+ years with diabetes who are treated,49.58094%
2008,Number of people aged 30+ years with diabetes who are treated,50.0971%
2009,Number of people aged 30+ years with diabetes who are treated,50.64377%
2010,Number of people aged 30+ years with diabetes who are treated,51.23054%
2011,Number of people aged 30+ years with diabetes who are treated,51.86192%
2012,Number of people aged 30+ years with diabetes who are treated,52.54247%
2013,Number of people aged 30+ years with diabetes who are treated,53.26785%
2014,Number of people aged 30+ years with diabetes who are treated,54.01568%
2015,Number of people aged 30+ years with diabetes who are treated,54.76735%
2016,Number of people aged 30+ years with diabetes who are treated,55.50867%
2017,Number of people aged 30+ years with diabetes who are treated,56.226%
2018,Number of people aged 30+ years with diabetes who are treated,56.91285%
2019,Number of people aged 30+ years with diabetes who are treated,57.56768%
2020,Number of people aged 30+ years with diabetes who are treated,58.18259%
2021,Number of people aged 30+ years with diabetes who are treated,58.75509%
2022,Number of people aged 30+ years with diabetes who are treated,59.30143%
1990,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),57.63283%
1991,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),57.22516%
1992,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),56.81824%
1993,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),56.41938%
1994,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),56.03803%
1995,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),55.66826%
1996,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),55.29911%
1997,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),54.9207%
1998,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),54.53862%
1999,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),54.14975%
2000,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),53.74593%
2001,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),53.30862%
2002,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),52.83929%
2003,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),52.35773%
2004,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),51.87455%
2005,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),51.39185%
2006,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),50.91046%
2007,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),50.41906%
2008,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),49.9029%
2009,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),49.35623%
2010,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),48.76946%
2011,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),48.13808%
2012,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),47.45753%
2013,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),46.73215%
2014,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),45.98432%
2015,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),45.23265%
2016,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),44.49133%
2017,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),43.774%
2018,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),43.08715%
2019,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),42.43232%
2020,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),41.81741%
2021,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),41.24491%
2022,Number of people aged 30+ years with diabetes who are not treated (Treatment gap),40.69857%
